Date,Close,High,Low,Open,Volume,MA20,MA50,Signal,Regime,Crossover
2025-09-22,255.5928192138672,256.15178189089505,247.64797087114997,247.82763635806887,105517400,,,0,Bearish,
2025-09-23,253.9459686279297,256.8504363399061,253.0975947938589,255.39322235208516,60275200,,,0,Bearish,0.0
2025-09-24,251.8300018310547,255.2534845023776,250.56241362070242,254.73446948849343,42303700,,,0,Bearish,0.0
2025-09-25,256.3813171386719,256.6807646844572,251.2311452680336,252.72829161839874,55202100,,,0,Bearish,0.0
2025-09-26,254.97401428222656,257.10994249251326,253.2972024297037,253.61660096533106,46076300,,,0,Bearish,0.0
2025-09-29,253.9459686279297,254.5148915782133,252.52867184357527,254.0757261912774,40127700,,,0,Bearish,0.0
2025-09-30,254.14559936523438,255.4331385813304,252.6284867333586,254.37515755125318,37704300,,,0,Bearish,0.0
2025-10-01,254.9640350341797,258.29769267334166,254.44502000530687,254.55481135314994,48713900,,,0,Bearish,0.0
2025-10-02,256.6408386230469,257.68882891050583,253.66649683440303,256.09186667190835,42630200,,,0,Bearish,0.0
2025-10-03,257.5291442871094,258.7468246365968,253.46689477740222,254.18552630266564,49155600,,,0,Bearish,0.0
2025-10-06,256.20166015625,258.57713717661323,254.56478079871025,257.49917477533796,44664100,,,0,Bearish,0.0
2025-10-07,255.99209594726562,256.9103287268919,254.94407514023973,256.32145476920215,31955800,,,0,Bearish,0.0
2025-10-08,257.569091796875,258.0282082133661,255.62278908467795,256.03201279963565,36496900,,,0,Bearish,0.0
2025-10-09,253.55670166015625,257.50917476461467,252.65841993311406,257.3195337882977,38322000,,,0,Bearish,0.0
2025-10-10,244.80340576171875,255.8922708493858,243.53581752909898,254.45500785015722,61999100,,,0,Bearish,0.0
2025-10-13,247.18885803222656,249.2149949644775,245.09284695690994,248.90558714178317,38142900,,,0,Bearish,0.0
2025-10-14,247.29864501953125,248.37659224814226,244.23447809703134,246.13087266264282,35478000,,,0,Bearish,0.0
2025-10-15,248.86566162109375,251.3409547309234,246.99922390992754,249.01538540478128,33893600,,,0,Bearish,0.0
2025-10-16,246.97926330566406,248.56623493239263,244.66368465033412,247.77774448085987,39777000,,,0,Bearish,0.0
2025-10-17,251.81002807617188,252.89796599708643,246.79958926324147,247.5481624372989,49147000,253.01075592041016,,0,Bearish,0.0
2025-10-20,261.7411193847656,263.87706298772724,255.14370850365398,255.4032084113237,90483000,253.31817092895508,,0,Bearish,0.0
2025-10-21,262.27008056640625,264.7853058703715,261.3318664386604,261.3817895915523,46695900,253.7343765258789,,0,Bearish,0.0
2025-10-22,257.9583435058594,262.349966966352,254.94406918261987,262.15033525743416,45015300,254.04079360961913,,0,Bearish,0.0
2025-10-23,259.0861511230469,260.12418111371363,257.51916110368444,259.4454820834593,32754900,254.1760353088379,,0,Bearish,0.0
2025-10-24,262.3200378417969,263.62754335723145,258.68694768993146,260.69313376057823,38253700,254.5433364868164,,0,Bearish,0.0
2025-10-27,268.2986145019531,268.60802232244004,264.1465248140549,264.37609822840903,44888200,255.26096878051757,,0,Bearish,0.0
2025-10-28,268.4882507324219,269.3765722048576,267.63986169210665,268.4782600095115,41534800,255.97810134887695,,0,Bearish,0.0
2025-10-29,269.1869201660156,270.8936584399069,266.6018207191691,268.76770579477784,51086700,256.6892456054687,,0,Bearish,0.0
2025-10-30,270.8836669921875,273.6184749716116,267.969239224885,271.4725408872279,69886500,257.4013870239258,,0,Bearish,0.0
2025-10-31,269.85565185546875,276.79244258078194,268.647962249571,276.4630533049319,86167100,258.01771240234376,,0,Bearish,0.0
